"","V8517","V7101","V7221"
"826",0,0,1
"827",0,0,0
"828",0,0,1
"829",0,0,1
"830",0,0,1
"831",0,0,1
"832",0,1,1
"833",0,0,1
"834",0,0,1
"835",1,0,0
"836",1,0,1
"837",1,1,0
"838",0,0,1
"839",0,0,1
"840",0,0,1
"841",0,0,1
"842",0,0,1
"843",1,0,1
"844",0,0,1
"845",0,0,1
"846",0,0,1
"847",0,0,1
"848",0,0,0
"849",0,0,1
"850",1,0,1
"851",0,0,0
"852",0,1,1
"853",0,0,0
"854",0,0,1
"855",0,0,0
"856",0,0,1
"857",0,0,1
"858",1,0,1
"859",0,0,1
"860",1,0,0
"861",1,0,1
"862",0,0,1
"863",0,0,1
"864",0,1,1
"865",0,0,1
"866",1,0,1
"867",0,0,0
"868",0,0,1
"869",0,0,1
"870",1,0,1
"871",1,1,1
"872",1,1,0
"873",0,0,1
"874",1,1,1
"875",0,0,0
"876",0,0,0
"877",0,0,0
"878",1,1,0
"879",1,0,1
"880",0,0,0
"881",0,0,0
"882",0,0,1
"883",0,0,0
"884",0,0,1
"885",0,0,0
"886",0,0,1
"887",1,1,0
"888",1,1,1
"889",0,0,1
"890",1,0,0
"891",0,1,1
"892",0,0,1
"893",1,0,1
"894",0,1,0
"895",0,1,1
"896",1,0,0
"897",0,0,1
"898",1,1,0
"899",0,0,1
"900",0,0,0
"901",0,0,0
"902",0,0,1
"903",0,1,0
"904",0,0,1
"905",1,1,0
"906",0,0,1
"907",0,0,0
"908",0,0,0
"909",0,0,1
"910",1,0,1
"911",1,1,0
"912",0,0,1
"913",0,0,0
"914",0,1,0
"915",0,0,1
"916",0,0,0
"917",0,1,1
"918",0,0,1
"919",1,1,0
"920",0,0,1
"921",0,0,0
"922",0,0,1
"923",0,0,0
"924",0,0,1
"925",1,0,0
"926",0,1,0
"927",0,0,1
"928",0,0,0
"929",0,0,1
"930",0,0,1
"931",0,0,0
"932",0,0,0
"933",0,0,0
"934",0,0,1
"935",0,0,0
"936",1,0,0
"937",0,0,1
"938",0,0,1
"939",0,0,0
"940",0,0,1
"941",0,1,1
"942",0,0,1
"943",0,0,1
"944",0,1,0
"945",0,0,1
"946",1,1,1
"947",0,0,0
"948",0,0,0
"949",0,1,0
"950",0,0,1
"951",0,0,0
"952",1,0,1
"953",0,0,1
"954",0,0,0
"955",0,0,1
"956",0,0,1
"957",0,0,0
"958",0,0,0
"959",0,0,0
"960",0,0,0
"961",0,0,1
"962",1,0,1
"963",0,1,0
"964",0,0,1
"965",1,0,1
"966",0,0,1
"967",1,0,0
"968",0,0,0
"969",0,0,0
"970",0,0,1
"971",0,1,1
"972",0,0,0
"973",0,0,1
"974",0,0,0
"975",0,0,1
"976",0,0,0
"977",0,0,0
"978",0,0,1
"979",0,0,0
"980",0,0,1
"981",0,0,1
"982",0,0,0
"983",0,0,1
"984",1,1,0
"985",0,0,0
"986",1,0,1
"987",0,0,1
"988",0,1,0
"989",0,0,0
"990",0,0,0
"991",1,1,1
"992",1,0,0
"993",0,0,0
"994",0,0,1
"995",0,0,1
"996",0,1,0
"997",0,1,1
"998",0,0,1
"999",0,0,1
"1000",0,0,1
"1001",0,0,1
"1002",0,0,1
"1003",0,0,0
"1004",0,0,1
"1005",1,1,0
"1006",0,0,0
"1007",1,1,0
"1008",0,0,0
"1009",0,0,1
"1010",0,0,0
"1011",0,0,1
"1012",0,0,1
"1013",0,0,0
"1014",0,1,0
"1015",0,1,0
"1016",0,0,0
"1017",0,0,1
"1018",1,1,0
"1019",0,0,1
"1020",1,0,1
"1021",0,0,0
"1022",1,0,1
"1023",0,0,1
"1024",1,0,0
"1025",0,0,1
"1026",0,1,0
"1027",0,1,1
"1028",0,0,1
"1029",0,0,1
"1030",0,1,0
"1031",0,0,1
"1032",0,0,1
"1033",0,0,1
"1034",0,0,1
"1035",0,0,0
"1036",0,1,0
"1037",1,0,0
"1038",0,0,1
"1039",0,0,0
"1040",0,0,0
"1041",0,0,1
"1042",0,0,0
"1043",1,0,0
"1044",0,0,1
"1045",0,0,1
"1046",1,0,0
"1047",0,0,0
"1048",0,0,1
"1049",0,0,0
"1050",0,0,1
"1051",0,0,1
"1052",0,0,1
"1053",0,0,1
"1054",0,0,0
"1055",0,1,0
"1056",0,0,0
"1057",0,0,0
"1058",0,0,0
"1059",1,0,0
"1060",1,1,0
"1061",0,0,0
"1062",1,0,1
"1063",0,1,1
"1064",1,0,0
"1065",0,0,1
"1066",0,0,0
"1067",0,0,0
"1068",0,0,0
"1069",0,0,1
"1070",0,0,1
"1071",0,0,0
"1072",0,0,0
"1073",0,0,1
"1074",0,0,0
"1075",0,0,0
"1076",0,0,0
"1077",0,0,0
"1078",0,0,1
"1079",0,0,0
"1080",0,0,1
"1081",0,0,0
"1082",0,0,1
"1083",0,0,1
"1084",0,0,0
"1085",0,0,0
"1086",0,0,1
"1087",0,0,1
"1088",1,1,0
"1089",0,0,1
"1090",0,0,1
"1091",0,0,0
"1092",0,0,1
"1093",0,0,0
"1094",0,0,1
"1095",1,0,1
"1096",1,0,1
"1097",0,1,0
"1098",1,0,0
"1099",1,0,1
"1100",0,0,1
"1101",1,1,0
"1102",0,0,0
"1103",0,0,0
"1104",0,0,0
"1105",0,1,0
"1106",0,1,0
"1107",0,0,0
"1108",0,0,0
"1109",0,0,1
"1110",0,1,0
"1111",1,1,0
"1112",0,0,1
"1113",1,1,0
"1114",0,1,0
"1115",0,0,1
"1116",0,0,1
"1117",0,0,1
"1118",0,1,1
"1119",0,1,1
"1120",0,0,1
"1121",0,0,1
"1122",0,1,0
"1123",0,0,1
"1124",0,1,0
"1125",0,0,1
"1126",0,0,1
"1127",0,0,0
"1128",0,0,0
"1129",0,1,0
"1130",0,1,1
"1131",0,0,0
"1132",1,0,0
"1133",0,0,1
"1134",1,1,0
"1135",0,0,1
"1136",0,0,0
"1137",0,0,1
"1138",0,0,1
"1139",0,0,0
"1140",0,0,1
"1141",1,1,0
"1142",0,0,1
"1143",0,0,1
"1144",0,0,0
"1145",0,0,1
"1146",1,1,1
"1147",0,0,1
"1148",0,1,0
"1149",1,1,0
"1150",0,0,1
"1151",0,0,1
"1152",1,1,0
"1153",1,0,1
"1154",0,0,1
"1155",1,1,1
"1156",1,0,0
"1157",0,0,1
"1158",0,0,1
"1159",0,0,1
"1160",0,0,1
"1161",0,0,1
"1162",0,1,1
"1163",0,0,1
"1164",0,1,1
"1165",0,0,1
"1166",0,0,1
"1167",0,0,1
"1168",0,0,0
"1169",0,0,0
"1170",0,0,0
"1171",1,0,0
"1172",0,0,1
"1173",0,0,1
"1174",0,0,1
"1175",0,0,1
"1176",0,0,1
"1177",0,0,0
"1178",0,0,1
"1179",0,0,0
"1180",0,0,0
"1181",1,0,0
"1182",0,0,0
"1183",0,0,0
"1184",0,0,0
"1185",0,0,1
"1186",0,0,1
"1187",1,0,0
"1188",0,0,0
"1189",0,0,0
"1190",0,0,1
"1191",0,0,1
"1192",0,0,1
"1193",0,0,0
"1194",1,0,1
"1195",0,0,1
"1196",0,0,0
"1197",0,0,1
"1198",0,0,1
"1199",0,0,0
"1200",0,0,1
"1201",0,0,0
"1202",0,0,1
"1203",1,0,0
"1204",0,0,1
"1205",0,0,0
"1206",1,1,0
"1207",0,0,1
"1208",1,1,1
"1209",0,0,0
"1210",0,0,0
"1211",0,0,0
"1212",0,0,1
"1213",0,0,0
"1214",0,0,1
"1215",0,1,0
"1216",0,0,1
"1217",0,0,1
"1218",0,0,0
"1219",1,0,0
"1220",1,0,0
"1221",0,0,0
"1222",0,0,1
"1223",0,0,1
"1224",0,0,0
"1225",0,1,0
"1226",0,0,1
"1227",1,0,0
"1228",1,0,1
"1229",1,0,1
"1230",0,0,1
