"","V7221","V7101","V7206","V8512"
"1140",0,0,1,1
"1141",0,0,1,1
"1142",1,0,0,0
"1143",0,1,0,1
"1144",0,0,0,1
"1145",1,0,1,1
"1146",1,0,1,0
"1147",1,0,1,1
"1148",0,0,1,1
"1149",0,0,1,0
"1150",0,0,0,0
"1151",1,0,0,1
"1152",1,0,1,1
"1153",0,0,1,1
"1154",0,0,1,1
"1155",0,0,1,0
"1156",0,0,1,1
"1157",0,0,0,0
"1158",0,0,1,1
"1159",0,0,1,1
"1160",0,0,1,0
"1161",1,0,1,0
"1162",0,0,1,1
"1163",0,1,1,1
"1164",0,0,1,1
"1165",0,0,1,1
"1166",0,0,1,0
"1167",1,0,1,0
"1168",0,0,1,0
"1169",0,1,1,1
"1170",0,1,1,0
"1171",0,0,0,1
"1172",0,1,1,1
"1173",1,0,1,1
"1174",0,1,0,0
"1175",1,0,1,1
"1176",1,0,1,0
"1177",0,1,1,1
"1178",0,0,1,1
"1179",0,1,1,0
"1180",0,0,1,1
"1181",0,0,1,0
"1182",0,0,1,1
"1183",1,0,1,1
"1184",1,1,1,0
"1185",1,0,1,1
"1186",1,0,1,0
"1187",1,0,1,1
"1188",0,1,0,0
"1189",0,0,1,0
"1190",1,0,1,1
"1191",0,1,1,1
"1192",0,0,1,0
"1193",0,0,0,0
"1194",0,1,1,1
"1195",0,0,0,1
"1196",1,0,1,1
"1197",0,0,0,1
"1198",1,0,1,0
"1199",0,1,1,1
"1200",0,0,1,1
"1201",1,0,1,1
"1202",0,1,0,0
"1203",0,0,1,0
"1204",0,0,0,1
"1205",1,1,1,1
"1206",0,0,1,1
"1207",0,0,1,1
"1208",0,0,1,1
"1209",0,0,1,1
"1210",1,0,1,1
"1211",0,1,1,0
"1212",0,0,1,1
"1213",0,0,1,1
"1214",0,0,1,1
"1215",0,0,1,1
"1216",1,1,1,1
"1217",0,1,1,1
"1218",0,0,1,0
"1219",1,0,1,1
"1220",0,0,1,1
"1221",1,0,1,1
"1222",1,0,1,1
"1223",1,0,1,1
"1224",1,0,1,1
"1225",0,1,1,1
"1226",0,1,0,0
"1227",0,0,1,1
"1228",0,0,0,1
"1229",0,0,0,0
"1230",1,0,1,1
"1231",0,0,0,0
"1232",0,0,0,1
"1233",0,0,1,1
"1234",1,0,1,1
"1235",0,1,1,0
"1236",1,0,1,1
"1237",0,0,1,1
"1238",1,0,1,1
"1239",0,0,1,0
"1240",1,0,1,1
"1241",1,0,1,1
"1242",1,0,1,0
"1243",1,0,1,1
