"","V7221","V7202","V7206","V7215"
"913",1,1,1,1
"914",1,1,0,0
"915",1,1,1,1
"916",1,1,1,1
"917",1,1,1,1
"918",0,1,1,1
"919",0,1,1,0
"920",0,1,0,0
"921",1,1,1,1
"922",0,1,1,1
"923",1,1,1,1
"924",1,1,1,0
"925",1,1,1,1
"926",0,1,1,0
"927",1,1,1,0
"928",0,1,1,1
"929",0,1,1,0
"930",1,1,1,1
"931",1,1,1,0
"932",1,1,1,1
"933",1,1,1,1
"934",1,1,1,0
"935",0,1,1,1
"936",0,1,0,0
"937",1,1,1,0
"938",1,0,1,1
"939",1,1,1,1
"940",0,1,1,0
"941",1,1,1,1
"942",1,1,1,0
"943",0,1,0,1
"944",1,1,1,1
"945",1,1,1,1
"946",1,1,0,0
"947",1,1,1,1
"948",1,1,1,1
"949",0,1,1,1
"950",1,1,0,1
"951",0,1,0,1
"952",0,1,1,0
"953",0,1,1,0
"954",1,1,1,1
"955",0,1,0,1
"956",1,1,1,1
"957",0,1,0,0
"958",1,1,1,1
"959",0,1,1,0
"960",0,1,1,1
"961",1,1,1,1
"962",1,1,0,1
"963",1,1,1,0
"964",1,1,1,0
"965",0,1,1,1
"966",0,0,0,0
"967",0,1,1,0
"968",1,1,1,1
"969",1,0,0,0
"970",1,1,1,1
"971",0,1,1,0
"972",0,1,1,1
"973",1,1,1,0
"974",0,1,1,1
"975",1,1,1,1
"976",1,1,1,0
"977",0,1,1,0
"978",1,1,1,1
"979",0,0,0,0
"980",0,1,0,0
"981",1,0,1,1
"982",1,1,1,0
"983",1,1,1,1
"984",1,1,1,1
"985",1,1,0,0
"986",0,0,0,0
"987",1,1,1,1
"988",0,1,1,1
"989",0,1,0,0
"990",0,1,1,1
"991",1,1,0,1
"992",1,1,1,0
"993",1,1,0,1
"994",1,1,1,1
"995",1,1,1,1
"996",0,1,1,1
"997",1,1,0,1
"998",1,1,0,1
"999",1,1,0,0
"1000",0,1,0,0
"1001",1,1,0,0
"1002",0,1,0,0
"1003",0,1,0,0
"1004",1,1,1,0
"1005",1,1,1,1
"1006",1,1,1,1
"1007",1,1,1,0
"1008",1,1,1,0
"1009",1,1,1,0
"1010",1,1,0,1
"1011",1,1,1,0
"1012",1,1,1,1
"1013",1,1,0,0
