"","V7221","V7563","V8514"
"1075",1,0,0
"1076",1,0,0
"1077",0,0,1
"1078",0,0,0
"1079",1,0,0
"1080",0,1,0
"1081",0,0,1
"1082",0,0,0
"1083",0,0,0
"1084",1,0,1
"1085",1,0,1
"1086",0,0,0
"1087",1,0,0
"1088",1,0,0
"1089",0,0,1
"1090",0,1,0
"1091",1,1,0
"1092",0,0,1
"1093",0,0,1
"1094",0,0,0
"1095",0,0,1
"1096",0,0,1
"1097",1,0,0
"1098",1,0,0
"1099",0,0,0
"1100",0,0,1
"1101",0,1,0
"1102",1,1,0
"1103",0,0,0
"1104",0,0,1
"1105",0,0,1
"1106",0,0,0
"1107",0,0,0
"1108",0,0,0
"1109",0,0,0
"1110",0,0,1
"1111",1,1,0
"1112",1,0,0
"1113",0,0,0
"1114",0,0,1
"1115",0,1,0
"1116",0,0,1
"1117",0,0,0
"1118",0,1,0
"1119",0,1,0
"1120",1,0,0
"1121",1,0,0
"1122",1,0,0
"1123",1,1,0
"1124",1,1,0
"1125",0,0,0
"1126",0,1,0
"1127",0,1,0
"1128",1,1,0
"1129",1,1,0
"1130",1,0,1
"1131",1,0,0
"1132",0,0,0
"1133",1,0,1
"1134",0,1,0
"1135",0,0,1
"1136",1,1,0
"1137",0,0,0
"1138",1,0,1
"1139",0,0,0
"1140",0,0,1
"1141",0,0,1
"1142",1,0,1
"1143",1,0,0
"1144",0,0,1
"1145",0,0,0
"1146",1,0,1
"1147",1,0,0
"1148",0,1,0
"1149",0,0,1
"1150",0,0,0
"1151",0,0,0
"1152",1,0,1
"1153",0,0,1
"1154",1,0,1
"1155",0,1,0
"1156",1,1,0
"1157",1,0,0
"1158",0,0,1
"1159",1,0,1
"1160",0,0,0
"1161",0,0,1
"1162",0,0,1
"1163",0,0,1
"1164",0,1,0
"1165",0,1,0
"1166",0,0,1
"1167",0,1,0
"1168",0,0,1
"1169",1,0,1
"1170",0,0,1
"1171",1,1,0
"1172",0,1,0
"1173",0,1,0
"1174",0,0,1
"1175",1,0,0
"1176",0,0,0
"1177",0,0,1
"1178",0,0,0
"1179",1,0,0
"1180",0,1,0
"1181",0,0,1
"1182",0,0,1
"1183",1,0,1
"1184",0,0,0
"1185",1,1,0
"1186",0,1,0
"1187",1,0,0
"1188",0,0,1
"1189",0,0,1
"1190",0,0,0
"1191",0,0,0
"1192",0,0,1
"1193",1,0,1
"1194",1,0,0
"1195",0,0,0
"1196",0,0,0
"1197",0,0,0
"1198",0,0,0
"1199",1,0,1
"1200",1,0,1
"1201",1,0,0
"1202",1,0,1
"1203",0,0,1
"1204",0,0,0
"1205",0,0,0
"1206",0,0,1
"1207",1,0,1
"1208",1,1,0
"1209",1,0,0
"1210",1,1,0
"1211",0,1,0
"1212",0,1,0
"1213",0,0,0
"1214",1,0,1
"1215",1,0,0
"1216",1,1,0
"1217",0,1,0
"1218",0,0,0
"1219",1,1,0
"1220",0,0,0
"1221",1,0,0
"1222",1,0,1
"1223",0,0,0
"1224",0,0,1
"1225",1,0,0
"1226",1,0,0
"1227",1,0,1
"1228",0,0,1
"1229",0,0,1
"1230",1,0,1
"1231",1,0,0
"1232",0,0,0
"1233",0,0,1
"1234",0,0,0
"1235",0,1,0
"1236",0,1,0
"1237",1,0,0
"1238",0,0,1
"1239",0,0,1
"1240",0,0,0
"1241",0,1,0
"1242",0,0,0
"1243",0,0,1
"1244",1,0,0
"1245",1,0,1
"1246",0,0,0
"1247",0,1,0
"1248",1,0,0
"1249",0,0,0
"1250",0,0,0
"1251",1,0,0
"1252",0,1,0
"1253",1,0,1
"1254",0,0,0
"1255",1,0,0
"1256",1,0,0
"1257",0,0,0
"1258",1,0,1
"1259",1,0,0
"1260",1,0,1
"1261",1,0,0
"1262",0,0,1
"1263",0,0,0
"1264",1,1,0
"1265",1,0,0
"1266",0,0,0
"1267",0,0,1
"1268",0,0,0
"1269",1,0,0
"1270",0,0,1
"1271",1,1,0
"1272",0,0,1
"1273",1,0,0
"1274",0,0,0
"1275",1,0,1
"1276",1,0,0
"1277",1,1,0
"1278",1,0,0
"1279",1,0,1
"1280",0,0,0
"1281",1,0,1
"1282",0,0,1
"1283",0,0,1
"1284",0,0,1
"1285",0,0,1
"1286",1,0,0
"1287",0,0,1
"1288",0,0,1
"1289",1,0,1
"1290",0,0,1
"1291",0,0,1
"1292",1,0,1
"1293",0,0,0
"1294",1,0,0
"1295",0,0,0
"1296",0,0,0
"1297",0,0,0
"1298",0,1,0
"1299",0,0,0
"1300",0,0,0
"1301",1,0,1
"1302",1,0,0
"1303",0,0,1
"1304",0,1,0
"1305",1,0,1
"1306",0,0,1
"1307",1,1,0
"1308",0,0,1
"1309",0,0,1
"1310",1,0,0
"1311",0,0,0
"1312",1,0,0
"1313",0,0,1
"1314",1,0,0
"1315",0,0,1
"1316",0,0,1
"1317",0,1,0
"1318",1,0,1
"1319",0,0,1
"1320",0,0,0
"1321",1,1,0
"1322",0,0,0
"1323",1,0,0
"1324",0,0,0
"1325",1,0,1
"1326",0,0,1
"1327",0,1,0
"1328",0,0,0
"1329",0,1,0
"1330",0,0,1
"1331",0,0,0
"1332",0,0,0
"1333",1,0,0
"1334",1,0,1
"1335",0,0,1
"1336",1,0,1
"1337",0,0,0
"1338",0,0,1
"1339",0,0,0
"1340",0,0,0
"1341",1,0,1
"1342",0,0,0
"1343",0,0,0
"1344",0,0,0
"1345",0,0,1
"1346",0,0,1
"1347",0,0,0
"1348",0,1,0
"1349",1,1,0
"1350",1,0,1
"1351",1,0,0
"1352",1,0,1
"1353",1,1,0
"1354",0,0,1
"1355",0,0,1
"1356",0,0,1
"1357",0,0,0
"1358",0,0,1
"1359",0,1,0
"1360",0,0,1
"1361",1,0,1
"1362",1,0,0
"1363",0,1,0
"1364",0,0,1
"1365",0,0,1
"1366",1,0,1
"1367",0,0,1
"1368",0,0,1
"1369",1,0,0
"1370",1,0,1
"1371",0,0,1
"1372",1,0,1
"1373",1,0,0
"1374",1,0,0
"1375",0,0,0
"1376",0,0,0
"1377",0,0,1
"1378",0,0,0
"1379",0,0,1
"1380",1,0,0
"1381",0,0,0
"1382",1,0,0
"1383",1,0,0
"1384",0,0,0
"1385",0,0,1
"1386",0,0,0
"1387",0,1,0
"1388",0,0,0
"1389",0,0,0
"1390",1,0,1
"1391",0,0,1
"1392",1,0,0
"1393",0,0,0
"1394",1,0,0
"1395",0,0,0
"1396",0,0,0
"1397",0,0,0
"1398",0,0,0
"1399",1,0,1
"1400",0,0,1
"1401",0,0,1
"1402",0,1,0
"1403",1,0,0
"1404",0,0,0
"1405",0,0,1
"1406",1,1,0
"1407",0,0,1
"1408",0,1,0
"1409",0,0,1
"1410",1,0,1
"1411",0,0,0
"1412",0,0,0
"1413",0,1,0
"1414",1,0,1
"1415",0,0,1
"1416",0,0,0
"1417",1,1,0
"1418",0,0,0
"1419",0,0,0
"1420",0,0,0
"1421",0,1,0
"1422",0,0,1
"1423",0,0,0
"1424",0,0,1
"1425",0,1,0
"1426",0,0,0
"1427",0,0,0
"1428",1,0,1
"1429",1,1,0
"1430",0,0,1
"1431",1,0,0
"1432",1,0,0
"1433",0,0,1
"1434",0,0,0
"1435",0,0,0
"1436",1,1,0
"1437",0,0,1
"1438",0,0,1
"1439",0,0,0
"1440",0,0,1
"1441",1,0,0
"1442",0,0,0
"1443",1,0,0
"1444",1,0,0
"1445",1,1,0
"1446",0,0,0
"1447",1,1,0
"1448",0,0,1
"1449",0,0,0
"1450",1,0,0
"1451",0,0,0
"1452",0,1,0
"1453",1,0,1
"1454",0,0,1
"1455",1,0,1
"1456",1,1,0
"1457",0,1,0
"1458",0,0,0
"1459",0,0,0
"1460",0,0,1
"1461",1,0,0
"1462",1,1,0
"1463",0,0,0
"1464",0,0,1
"1465",0,0,0
"1466",0,0,0
"1467",1,0,1
"1468",0,0,0
"1469",0,0,0
"1470",0,0,1
"1471",1,0,0
"1472",1,0,1
"1473",1,0,0
"1474",0,0,0
"1475",0,0,1
"1476",1,0,1
"1477",0,0,1
"1478",1,0,1
"1479",0,0,1
"1480",0,0,1
"1481",1,0,0
"1482",0,0,0
"1483",1,0,0
"1484",1,0,1
"1485",1,1,0
"1486",0,1,0
"1487",1,0,1
"1488",0,0,1
"1489",0,1,0
"1490",1,0,0
"1491",1,0,1
"1492",0,0,0
"1493",0,0,0
