"","V7221","V7215","V8527","V7202","V8512","V8526","V7206","V8509","V8530"
"642",0,1,1,1,1,1,0,0,1
"643",1,0,1,0,1,1,1,0,1
"644",1,1,0,1,0,0,1,0,0
"645",0,1,1,1,0,1,1,0,1
"646",0,0,0,0,1,1,1,0,1
"647",1,1,0,1,0,1,1,0,0
"648",1,0,1,0,1,0,1,0,0
"649",1,0,1,0,1,1,0,0,1
"650",1,0,0,0,1,0,1,0,1
"651",0,1,0,0,1,0,0,0,1
"652",0,0,0,1,1,0,1,0,0
"653",0,1,1,0,0,1,0,1,0
"654",1,0,1,1,1,1,1,0,0
"655",1,0,1,0,1,1,1,0,1
"656",0,1,0,0,0,0,0,0,1
"657",1,1,0,0,1,0,1,0,0
"658",1,0,1,1,1,0,1,0,1
"659",1,0,1,1,1,0,1,0,0
