"","V8517","V8502","V8527","V7552","V8512"
"794",0,0,0,1,1
"795",1,0,1,0,1
"796",0,0,1,1,1
"797",0,1,1,1,1
"798",0,0,1,1,1
"799",0,0,0,0,1
"800",0,0,1,0,1
"801",0,0,1,1,1
"802",0,0,1,1,1
"803",0,0,1,1,1
"804",0,0,1,1,1
"805",1,0,1,1,1
"806",0,0,1,1,1
"807",1,0,1,1,1
"808",1,1,0,0,0
"809",0,0,1,0,1
"810",0,0,1,1,1
"811",0,0,1,1,1
"812",0,0,0,0,1
"813",0,0,0,1,1
"814",0,0,0,0,0
"815",0,0,1,0,1
"816",0,0,1,0,0
"817",0,0,1,1,1
"818",0,0,0,1,0
"819",0,0,0,1,1
"820",0,0,0,0,0
"821",0,0,0,0,1
"822",0,0,1,1,1
"823",0,0,1,0,1
"824",1,0,1,1,0
"825",0,0,0,0,1
"826",1,0,0,0,0
"827",0,1,0,0,1
"828",0,0,0,1,1
"829",0,0,1,1,1
"830",0,0,1,0,1
"831",0,0,1,1,1
"832",0,0,1,0,0
"833",0,0,0,0,1
"834",0,1,1,0,1
"835",0,1,0,1,0
"836",0,0,1,1,1
"837",0,0,1,1,1
"838",0,0,1,1,1
"839",0,1,1,0,0
"840",0,1,1,1,0
"841",0,0,0,0,1
"842",0,0,1,0,1
"843",1,0,1,1,0
"844",1,1,0,1,0
"845",1,0,0,1,0
"846",0,0,1,0,0
"847",0,0,0,0,1
"848",0,0,0,0,1
"849",0,0,0,0,0
"850",0,1,1,1,0
"851",1,0,1,1,0
"852",0,0,1,0,1
"853",0,0,1,1,1
"854",0,0,1,0,0
"855",0,0,1,1,1
"856",0,0,1,1,1
"857",0,0,0,1,1
"858",0,0,1,0,1
"859",1,0,1,0,1
"860",0,0,0,0,0
"861",0,0,1,0,1
"862",1,0,1,0,1
"863",0,0,0,1,0
"864",0,0,1,1,1
"865",0,0,1,1,1
"866",0,0,1,0,1
"867",0,0,1,0,1
"868",1,0,0,1,1
"869",0,0,1,1,1
"870",1,0,1,0,1
"871",0,0,1,0,1
"872",0,0,0,1,1
"873",0,0,1,0,1
"874",1,0,0,1,1
"875",0,0,0,0,1
"876",0,0,1,1,1
"877",0,0,1,1,0
"878",1,0,0,0,1
"879",1,0,0,1,1
"880",1,0,1,1,0
"881",0,0,0,1,1
"882",1,0,0,1,1
"883",0,0,0,1,1
"884",0,0,1,1,1
"885",1,0,1,1,1
"886",1,0,1,1,1
"887",0,0,1,0,1
"888",0,0,0,0,0
"889",0,0,1,1,1
"890",0,0,0,0,1
"891",0,0,1,1,1
"892",0,1,0,1,0
"893",0,0,0,1,1
"894",1,0,0,1,1
"895",1,1,0,1,1
"896",0,0,1,0,1
"897",1,0,1,0,1
"898",0,0,1,0,0
"899",0,0,1,0,1
"900",1,0,0,1,0
"901",0,0,0,1,1
"902",0,0,0,1,1
"903",0,0,1,1,1
"904",1,0,1,1,0
"905",0,0,1,0,1
"906",0,0,0,1,1
"907",0,1,1,1,0
"908",0,0,1,0,1
"909",0,1,0,1,0
"910",0,0,0,0,1
"911",1,0,0,0,1
"912",0,1,0,0,0
"913",0,1,0,1,0
"914",0,0,0,1,1
"915",0,0,1,1,1
"916",1,0,1,1,1
"917",0,0,1,0,1
"918",1,1,1,0,0
"919",0,0,1,1,1
"920",0,0,0,0,0
"921",0,0,1,1,1
"922",0,0,1,1,1
"923",0,0,0,1,0
"924",0,0,0,0,0
"925",1,1,0,1,0
"926",0,0,1,1,1
"927",0,0,1,0,1
"928",0,0,1,1,1
"929",0,1,1,1,0
"930",0,0,1,1,1
"931",1,0,1,0,1
"932",0,0,1,0,1
"933",0,0,1,0,1
"934",0,0,0,0,1
"935",0,0,1,1,1
"936",0,1,0,1,1
"937",0,0,0,0,1
"938",0,0,1,0,1
"939",0,1,0,1,0
"940",0,0,0,1,1
"941",0,0,1,1,1
"942",0,0,1,1,1
"943",1,1,0,1,1
"944",0,0,1,0,1
"945",0,0,1,0,1
"946",0,0,1,1,1
"947",0,0,0,1,1
"948",0,0,1,1,1
"949",0,1,1,1,0
"950",0,0,0,1,1
"951",0,0,0,1,0
"952",1,0,0,1,1
"953",0,0,1,0,1
"954",0,0,0,1,1
"955",0,0,0,1,0
"956",0,0,1,0,1
"957",0,0,0,0,1
"958",1,0,1,1,0
"959",0,0,1,1,1
"960",0,0,0,0,1
"961",0,0,0,0,1
"962",0,0,1,1,1
"963",0,1,0,1,0
"964",0,0,0,1,1
"965",0,0,1,0,1
"966",1,1,0,1,0
"967",0,0,1,1,1
"968",0,0,0,1,1
"969",1,1,1,1,0
"970",0,0,1,1,1
"971",1,0,0,1,1
"972",0,1,0,1,1
"973",0,0,0,1,1
"974",0,0,0,1,1
"975",0,0,1,1,1
"976",0,0,1,1,1
"977",0,0,1,1,1
"978",0,0,1,1,1
"979",0,0,1,1,1
"980",0,0,0,1,1
"981",0,0,0,0,1
"982",0,0,1,1,1
"983",0,0,1,0,0
"984",0,0,1,1,1
"985",0,0,0,1,1
"986",0,0,0,1,1
"987",1,0,0,0,1
"988",0,1,1,1,1
"989",1,0,1,1,1
"990",0,1,0,1,0
"991",0,1,0,0,0
"992",0,0,1,0,1
"993",1,0,0,1,1
"994",1,1,1,1,1
"995",0,0,1,0,0
"996",0,0,0,1,1
"997",0,0,0,1,1
"998",0,1,1,1,1
"999",0,1,0,0,0
"1000",0,0,1,1,0
"1001",0,0,1,0,1
"1002",0,0,1,0,1
"1003",0,0,1,1,1
"1004",0,0,0,1,1
"1005",0,0,1,0,1
"1006",0,0,0,1,0
"1007",1,0,1,1,1
"1008",0,0,1,1,1
"1009",1,0,1,0,0
"1010",0,1,1,1,1
"1011",0,0,1,0,1
"1012",0,0,1,1,1
"1013",0,0,1,0,1
"1014",0,0,1,1,1
"1015",0,0,1,0,1
"1016",0,0,0,1,1
"1017",0,0,0,0,0
"1018",0,0,1,1,1
"1019",1,1,0,0,1
"1020",0,0,1,0,1
"1021",1,0,0,1,0
"1022",0,0,1,1,1
