"","V7118","V8502","V8512","V8509","V8530","V7215"
"776",0,0,0,0,0,1
"777",1,0,1,1,0,0
"778",1,0,1,1,0,0
"779",1,0,1,0,1,1
"780",1,0,0,0,0,0
"781",1,0,1,0,1,1
"782",1,0,0,0,1,1
"783",0,0,0,0,0,0
"784",0,1,0,1,0,0
"785",0,0,0,0,0,1
"786",1,0,0,0,0,1
"787",1,0,0,0,0,1
"788",1,0,0,0,0,0
"789",1,0,1,1,1,1
"790",0,0,0,0,0,1
"791",1,0,0,0,0,0
"792",1,0,0,0,0,1
"793",1,0,0,0,0,0
"794",1,1,1,0,0,1
"795",1,0,0,0,0,1
"796",1,0,1,0,0,1
"797",0,0,0,0,0,1
"798",1,0,0,1,1,0
"799",0,0,0,0,0,0
"800",0,0,0,0,0,0
"801",1,0,0,0,0,0
"802",1,0,0,0,0,1
"803",0,0,0,0,0,0
"804",1,0,0,0,0,1
"805",1,0,0,0,0,1
"806",1,0,1,0,0,1
"807",1,0,0,0,0,0
"808",0,0,0,0,0,0
"809",1,0,0,0,0,1
"810",0,0,0,0,0,0
"811",1,0,0,0,0,0
"812",1,0,0,0,0,1
"813",1,0,1,0,1,0
"814",1,0,0,0,0,0
"815",0,0,0,0,0,0
"816",1,0,0,1,0,0
"817",0,0,0,0,0,1
"818",1,0,0,0,0,1
"819",1,0,0,0,0,0
"820",1,0,0,0,0,1
"821",1,0,0,0,0,0
"822",1,1,1,0,0,1
"823",0,0,1,0,0,1
"824",1,0,1,0,0,1
"825",1,0,0,1,0,0
"826",1,0,0,0,0,1
"827",1,0,0,0,0,0
"828",1,0,0,0,0,1
"829",1,0,0,0,0,0
"830",0,0,1,0,1,0
"831",1,0,0,0,0,0
"832",1,0,0,0,0,0
"833",1,0,0,0,0,0
"834",1,0,0,0,0,0
"835",1,0,0,0,0,0
"836",0,0,0,0,0,0
"837",0,0,0,0,0,0
"838",0,1,1,0,0,1
"839",0,0,0,0,0,1
"840",1,0,0,0,0,0
